Time [s],Rank 5,Rank 1,Rank 4,Rank 0,Rank 7,Rank 3,Rank 6,Rank 2
94.013788923,,,,,,0.000141116643131194,,
94.069931973,,,,,,,0.000141116643131194,
94.104334241,,,0.000139798968658942,,,,,
94.114308015,,0.000139798968658942,,,,,,
94.12765956,,,,0.000139798968658942,,,,
94.140574844,0.000139798968658942,,,,,,,
94.149668111,,,,,,,,0.000139798968658942
94.172169498,,,,,0.000139798968658942,,,
94.218738946,,,,,,0.000139798968658942,,
94.259725538,,0.000139798968658942,,,,,,
94.28473966,,,,,,,0.000139798968658942,
94.325670337,,,,0.000138064615839101,,,,
94.339465312,0.000138064615839101,,,,,,,
94.349477362,,,0.000138064615839101,,,,,
94.402231746,,,,,,0.000138064615839101,,
94.403727415,,,,,0.000138064615839101,,,
94.426671823,,,,,,,,0.000138064615839101
94.475408012,,0.000138064615839101,,,,,,
94.488439051,,,,,,,0.000138064615839101,
94.524325209,,,,0.000136559860071091,,,,
94.527339816,,,0.000136559860071091,,,,,
94.584444375,,,,,0.000136559860071091,,,
94.593840831,,,,,,0.000136559860071091,,
94.609758011,0.000136559860071091,,,,,,,
94.629927278,,0.000136559860071091,,,,,,
94.659804989,,,,,,,,0.000136559860071091
94.704357678,,,,,,,0.000136559860071091,
94.728704046,,,0.000134994220158297,,,,,
94.741968217,,,,,,0.000134994220158297,,
94.747098768,,,,0.000134994220158297,,,,
94.781976551,,,,,0.000134994220158297,,,
94.795732303,,0.000134994220158297,,,,,,
94.829449174,0.000134994220158297,,,,,,,
94.846199804,,,,,,,,0.000134994220158297
94.884028001,,,,,,,0.000134994220158297,
94.93029522,,,,0.000133349818607088,,,,
94.938170263,,,,,0.000133349818607088,,,
94.969773359,,,,,,0.000133349818607088,,
94.982547522,0.000133349818607088,,,,,,,
94.988375435,,,0.000133349818607088,,,,,
95.024848151,,0.000133349818607088,,,,,,
95.028599227,,,,,,,0.000133349818607088,
95.070684019,,,,,,,,0.000133349818607088
95.128066073,,,,0.000131880543666623,,,,
95.155776602,0.000131880543666623,,,,,,,
95.160399104,,,0.000131880543666623,,,,,
95.182872567,,,,,0.000131880543666623,,,
95.20969787,,,,,,,0.000131880543666623,
95.211415358,,,,,,0.000131880543666623,,
95.216910211,,0.000131880543666623,,,,,,
95.255733346,,,,,,,,0.000131880543666623
95.302268959,,,0.000130417466295231,,,,,
95.359210156,,,,,0.000130417466295231,,,
95.365604459,0.000130417466295231,,,,,,,
95.374374972,,,,,,0.000130417466295231,,
95.377550617,,0.000130417466295231,,,,,,
95.384318801,,,,0.000130417466295231,,,,
95.412893376,,,,,,,,0.000130417466295231
95.440083139,,,0.000130417466295231,,,,,
95.522985318,,,,,,,0.000130417466295231,
95.561857687,,,,,0.000129061285650248,,,
95.569620852,0.000129061285650248,,,,,,,
95.577965557,,,,,,0.000129061285650248,,
95.587961806,,0.000129061285650248,,,,,,
95.658378041,,,,,,,,0.000129061285650248
95.665317221,,,,0.000129061285650248,,,,
95.674227395,,,0.000129061285650248,,,,,
95.740102144,0.000129061285650248,,,,,,,
95.750963734,,,,,,,0.000129061285650248,
95.757748461,,,,,,0.000127485891314102,,
95.800526092,,0.000127485891314102,,,,,,
